country,name,sex,year,count,baseline,ratio
IT,KAROL,m,2005,156,2,78.0
US,Katina,F,1972,2747,68,40.4
US,Tammy,F,1958,9987,255,39.16
US,Jaime,F,1976,7838,259,30.26
US,Deanna,F,1938,2254,77,29.27
US,Katina,F,1973,2473,95,26.03
US,Ailany,F,2025,7136,311,22.95
US,Tammy,F,1957,4365,193,22.62
US,Kiara,F,1989,2624,128,20.5
US,Marlene,F,1931,2585,129,20.04
US,Marquita,F,1983,2543,128,19.87
IT,CHANEL,f,2008,158,8,19.75
US,Woodrow,M,1913,2333,121,19.28
US,Bentley,M,2010,3776,217,17.4
US,Cheryl,F,1944,7972,591,13.49
US,Dawson,M,1999,2802,209,13.41
US,Miley,F,2008,2652,198,13.39
US,Mariah,F,1991,5192,423,12.27
US,Ashanti,F,2002,2946,243,12.12
US,Brenda,F,1939,2756,233,11.83
US,Vanessa,F,1953,2007,176,11.4
US,Kayla,F,1983,3527,317,11.13
US,Jayceon,M,2014,2016,182,11.08
US,Ailany,F,2024,2606,241,10.81
US,Bentley,M,2011,5587,522,10.7
US,Corey,M,1969,4924,466,10.57
US,Marlene,F,1932,3219,306,10.52
US,Darrin,M,1965,3255,310,10.5
US,Alondra,F,1996,2021,193,10.47
US,Jase,M,2013,4555,454,10.03
US,Lindsay,F,1976,2070,213,9.72
US,Tristan,M,1996,5458,567,9.63
US,Trinity,F,2000,4284,481,8.91
US,Shaun,M,1978,6105,699,8.73
US,Camryn,F,1999,2048,240,8.53
US,Shelby,F,1991,10220,1203,8.5
US,Brantley,M,2012,2588,311,8.32
US,Brenda,F,1940,5442,676,8.05
US,Ethan,M,1990,6989,896,7.8
US,Khloe,F,2009,3459,447,7.74
US,Dominique,F,1985,3299,454,7.27
US,Kayla,F,1982,2275,314,7.25
US,Debra,F,1951,17064,2392,7.13
US,Mandy,F,1975,2710,385,7.04
US,Jeremy,M,1970,4318,640,6.75
US,Mandy,F,1976,2924,446,6.56
US,Jaclyn,F,1978,2129,325,6.55
US,Cheryl,F,1943,2878,442,6.51
US,Jaime,F,1977,5906,914,6.46
US,Ethan,M,1989,4056,656,6.18
IT,CELINE,f,2024,661,108,6.12
IT,GIOVANNI PAOLO,m,2005,168,30,5.6
IT,GIOVANNI PAOLO,m,2006,162,31,5.23
IT,ANDREA,f,2013,281,55,5.11
IT,CELINE,f,2023,296,60,4.93
IT,SOLEIL,f,2022,474,98,4.84
IT,FABIANO,m,2006,210,46,4.57
IT,SOLEIL,f,2023,473,104,4.55
IT,CHLOE,f,2014,493,111,4.44
IT,ANDREA,f,2014,237,55,4.31
IT,FABIANO,m,2007,201,47,4.28
IT,NATHAN,m,2011,355,87,4.08
IT,RAYAN,m,2007,295,78,3.78
IT,SOLE,f,2022,916,244,3.75
IT,ILARY,f,2006,168,45,3.73
IT,THEO,m,2023,230,63,3.65
IT,ILARY,f,2007,285,82,3.48
IT,FLAVIO,m,2002,1008,294,3.43
IT,THIAGO,m,2024,744,224,3.32
IT,SANTIAGO,m,2014,329,99,3.32
IT,FLAVIO,m,2003,965,311,3.1
IT,DENNIS,m,2000,362,118,3.07
IT,MALAK,f,2009,411,140,2.94
IT,LIAM,m,2013,308,105,2.93
IT,SOPHIE,f,2022,789,272,2.9
IT,SOLE,f,2023,1088,379,2.87
IT,MIA,f,2012,1046,367,2.85
IT,MIA,f,2013,1420,502,2.83
IT,PERLA,f,2024,320,113,2.83
IT,DENNIS,m,2002,659,249,2.65
IT,RAYAN,m,2008,387,146,2.65
IT,ALEXANDRA,f,2005,219,83,2.64
IT,LIAM,m,2012,179,68,2.63
IT,GIOIA,f,2003,371,146,2.54
IT,CHANEL,f,2009,160,63,2.54
IT,NATHAN,m,2012,420,166,2.53
IT,NOUR,f,2015,204,81,2.52
