year,sex,total_births,distinct_names_captured,shannon_entropy,top10_share,top30_share,coverage_percent,entropy_reliable
1999,F,250401,377,6.235941,0.255047,0.454443,85.3715,False
1999,M,264036,377,5.942939,0.295944,0.54841,87.2389,False
2000,F,258355,5577,7.589192,0.257665,0.454483,94.2382,False
2000,M,274173,5577,7.089604,0.296791,0.550138,94.5429,False
2001,F,256995,2274,7.173737,0.253071,0.450106,90.9905,False
2001,M,272161,2274,6.718229,0.284626,0.537226,91.1692,False
2002,F,258794,2421,7.175117,0.248476,0.444303,90.2733,False
2002,M,271649,2421,6.738456,0.278333,0.531763,90.6442,False
2003,F,258300,1242,6.808674,0.258599,0.448966,88.2985,False
2003,M,272974,1242,6.403739,0.278602,0.53515,88.6711,False
2004,F,269459,1484,6.848654,0.25405,0.446086,87.8924,False
2004,M,284311,1484,6.464168,0.272047,0.523504,88.0339,False
2005,F,263424,1321,6.798936,0.245156,0.435279,86.9993,False
2005,M,280606,1321,6.394572,0.265365,0.516065,87.0263,False
2006,F,267851,1004,6.62786,0.243131,0.435011,85.6282,False
2006,M,284168,1004,6.257726,0.258685,0.512982,85.8872,False
2007,F,269673,1019,6.620363,0.237488,0.431393,85.2692,False
2007,M,285916,1019,6.267071,0.254907,0.508845,85.5674,False
2008,F,277469,2608,7.157216,0.230865,0.419838,88.1007,False
2008,M,292710,2608,6.728396,0.254935,0.501015,87.9222,False
2009,F,271881,2055,7.029457,0.225176,0.41765,86.9708,False
2009,M,288378,2055,6.616501,0.248171,0.490956,86.7511,False
2010,F,266823,1737,6.950496,0.216728,0.411201,86.0192,False
2010,M,282971,1737,6.528588,0.24663,0.48617,85.836,False
2011,F,257739,2258,7.124821,0.211388,0.409201,86.8596,False
2011,M,273031,2258,6.677184,0.24977,0.48259,86.5224,False
2012,F,253549,1135,6.673369,0.211817,0.405961,83.615,False
2012,M,268306,1135,6.297758,0.244612,0.476214,83.7283,False
2013,F,242234,1567,6.934268,0.201029,0.401575,85.3328,False
2013,M,255938,1567,6.508825,0.249084,0.475189,85.3132,False
2014,F,240104,1726,7.011939,0.198726,0.398402,85.7583,False
2014,M,254446,1726,6.586799,0.246319,0.469994,85.6284,False
2015,F,233169,2765,7.314919,0.197243,0.393195,87.4687,False
2015,M,247123,2765,6.88258,0.241175,0.461543,87.2444,False
2016,F,227877,736,6.426882,0.195649,0.390509,81.3026,False
2016,M,240468,736,6.164545,0.23658,0.453378,82.2284,False
2017,F,220261,474,6.062542,0.194074,0.386228,78.4015,False
2017,M,233367,474,5.917514,0.232256,0.447698,80.2311,False
2018,F,214026,246,5.397883,0.192383,0.38522,72.7239,False
2018,M,226754,246,5.405372,0.233994,0.446404,76.0754,False
2019,F,203561,247,5.391224,0.190793,0.384681,72.6421,False
2019,M,214053,247,5.415647,0.234344,0.442872,76.0756,False
2020,F,195530,466,6.049983,0.187935,0.376259,77.9379,False
2020,M,207513,466,5.903768,0.236048,0.440536,79.876,False
2021,F,194745,137,4.661226,0.192821,0.378577,65.6392,False
2021,M,204864,137,4.833337,0.235971,0.440346,70.6874,False
2022,F,190112,24745,9.59612,0.195853,0.374022,100.0,True
2022,M,202460,25914,9.203433,0.233473,0.437904,100.0,True
2023,F,184207,24126,9.611301,0.197653,0.36839,100.0,True
2023,M,195027,25197,9.226252,0.233532,0.437734,100.0,True
2024,F,179169,24037,9.645716,0.196033,0.362981,100.0,True
2024,M,189358,25265,9.300061,0.230912,0.429382,100.0,True
