year,limit_used,male_count,female_count,male_percent_sum,female_percent_sum
1999,377,377,377,87.2389,85.3715
2000,5577,5577,5577,94.5429,94.2382
2001,2274,2274,2274,91.1692,90.9905
2002,2421,2421,2421,90.6442,90.2733
2003,1242,1242,1242,88.6711,88.2985
2004,1484,1484,1484,88.0339,87.8924
2005,1321,1321,1321,87.0263,86.9993
2006,1004,1004,1004,85.8872,85.6282
2007,1019,1019,1019,85.5674,85.2692
2008,2608,2608,2608,87.9222,88.1007
2009,2055,2055,2055,86.7511,86.9708
2010,1737,1737,1737,85.836,86.0192
2011,2258,2258,2258,86.5224,86.8596
2012,1135,1135,1135,83.7283,83.615
2013,1567,1567,1567,85.3132,85.3328
2014,1726,1726,1726,85.6284,85.7583
2015,2765,2765,2765,87.2444,87.4687
2016,736,736,736,82.2284,81.3026
2017,474,474,474,80.2311,78.4015
2018,246,246,246,76.0754,72.7239
2019,247,247,247,76.0756,72.6421
2020,466,466,466,79.876,77.9379
2021,137,137,137,70.6874,65.6392
2022,cached,25914,24745,100.0,100.0
2023,cached,25197,24126,100.0,100.0
2024,cached,25265,24037,100.0,100.0
