year,total_births,top30_male_share,top30_female_share,top5_male_names,top5_male_counts,top5_female_names,top5_female_counts,source_url,notes
2024,369944,42.94,36.31,Leonardo;Edoardo;Tommaso;Mattia;Alessandro,6580;5819;4389;4233;4201,Sofia;Aurora;Ginevra;Vittoria;Giulia,4636;4265;4153;3893;3397,https://www.istat.it/wp-content/uploads/2025/10/Natalita-e-fecondita-della-popolazione-residente_Anno-2024.pdf,"Primary ISTAT PDF read directly (12pp). PDF does NOT contain a top-30 concentration sentence for this year (confirmed absent by full read) - only a top-5 bar chart (Figura 4) with approximate counts read off axis (~6600/5800/4400/4200/4200 male; ~4700/4300/4200/3900/3400 female). top30 share and exact top5 counts here are from nomix.it/top-30-nomi-per-bambini-italia-2024.php (secondary site, explicitly cites 'Fonte: ISTAT, Ottobre 2025'); nomix exact counts cross-validated against the PDF bar-chart reading and match closely. total_births confirmed exact in PDF."
2023,379890,43.772,36.84,Leonardo;Edoardo;Tommaso;Francesco;Alessandro,7096;5603;4687;4534;4383,Sofia;Aurora;Ginevra;Vittoria;Giulia,4971;4648;4274;4194;3732,https://www.istat.it/wp-content/uploads/2024/10/Natalita-in-Italia-Anno-2023.pdf,"Primary ISTAT PDF downloaded to raw/ but top30%/top5-counts not individually re-verified by full manual read (time budget); total_births cross-confirmed against 2024 report's historical indicator table (matches exactly: 379.890). top30% and top5 counts from nomix.it (secondary, cites 'Fonte: ISTAT, Ottobre 2024')."
2022,393333,43.82,37.37,Leonardo;Francesco;Tommaso;Edoardo;Alessandro,7888;4823;4795;4748;4729,Sofia;Aurora;Giulia;Ginevra;Vittoria,5465;4900;4198;3846;3814,https://www.istat.it/it/files/2023/10/Report-natalita-26-ottobre-2023.pdf,"Primary ISTAT PDF text directly quotes: 'la distribuzione del numero di nati secondo il nome rivela un'elevata concentrazione intorno ai primi 30 in ordine di frequenza, che complessivamente coprono quasi il 44% ... e quasi il 38%' (prose confirms ~44%/~38%, consistent with nomix.it's more precise 43.82%/37.37%). Also has Figura 6 bar chart of top-5 names (approx counts). Exact top5 counts here from nomix.it (ISTAT-sourced), consistent with the report's approx bar chart."
2021,400249,44.04,37.84,Leonardo;Alessandro;Tommaso;Francesco;Lorenzo,8448;4975;4973;4924;4642,Sofia;Aurora;Giulia;Ginevra;Beatrice,5578;4991;4616;3803;3647,https://www.istat.it/it/files/2022/12/report-natalita-2021.pdf,"Primary ISTAT PDF downloaded; total_births confirmed exact (400.249) via 2024 report's historical table. top30% and exact top5 counts from nomix.it (cites 'Fonte: ISTAT, Dicembre 2022'); not individually re-verified against the raw PDF's own prose/chart by full manual read."
2020,404892,44.05,37.63,Leonardo;Francesco;Alessandro;Lorenzo;Mattia,8604;5422;5009;4841;4711,Sofia;Giulia;Aurora;Ginevra;Alice,5604;5012;4987;3657;3333,https://www.istat.it/it/files/2021/12/REPORT-NATALITA-2020.pdf,"Primary ISTAT PDF read directly in full (9pp). PDF explicitly states: 'la distribuzione del numero di nati secondo il nome rivela un'elevata concentrazione intorno ai primi 30 in ordine di frequenza, che complessivamente coprono oltre il 44% di tutti i nomi attribuiti ai maschi e quasi il 38% di quelli delle femmine' - matches nomix.it's 44.05%/37.63% almost exactly. IMPORTANT: this report year has NO bar chart / no absolute counts anywhere for names, only prose ranking - exact top5 counts are only available via nomix.it (ISTAT-sourced secondary compilation, cites 'Fonte: ISTAT, Dicembre 2021'). total_births confirmed exact in PDF (404.892)."
2019,420084,44.28,38.47,Leonardo;Francesco;Lorenzo;Alessandro;Andrea,7786;5946;5264;5229;4715,Sofia;Aurora;Giulia;Ginevra;Alice,5851;5467;5356;3721;3658,https://www.istat.it/it/files/2020/12/REPORT-NATALITA-2019.pdf,"Primary ISTAT PDF downloaded; total_births confirmed exact (420.084, matches 2024 report historical table). top30% and top5 exact counts from nomix.it (cites 'Fonte: ISTAT, Dicembre 2020'); not individually re-verified against raw PDF text by full manual read."
2018,439747,44.63,38.52,Leonardo;Francesco;Alessandro;Lorenzo;Mattia,7690;6519;5660;5566;5474,Sofia;Giulia;Aurora;Alice;Ginevra,6400;5917;5862;3741;3688,https://www.istat.it/it/files/2019/11/Report_natalit%C3%A0_anno2018_def.pdf,"Primary ISTAT PDF downloaded; total_births confirmed exact (439.747, matches 2024 report historical table). top30% and top5 exact counts from nomix.it (cites 'Fonte: ISTAT, Novembre 2019'); not individually re-verified against raw PDF text by full manual read."
2017,458151,44.77,38.64,Francesco;Leonardo;Alessandro;Lorenzo;Mattia,7209;6622;5987;5789;5715,Sofia;Giulia;Aurora;Alice;Ginevra,7173;6143;5808;3691;3564,https://www.istat.it/it/files/2018/11/Report_Natalita_fecondita.pdf,"Primary ISTAT PDF downloaded; total_births 458.151 corroborated by web search of ISTAT press release ('over 15 thousand fewer than 2016'). top30% and top5 exact counts from nomix.it (cites 'Fonte: ISTAT, Novembre 2018'); not individually re-verified against raw PDF text by full manual read."
2016,473438,45.35,39.05,Francesco;Alessandro;Leonardo;Lorenzo;Mattia,7850;6664;6505;6331;5917,Sofia;Aurora;Giulia;Emma;Giorgia,7616;6466;6093;3814;3651,https://www.istat.it/it/files/2017/11/Report-Nascite-e-fecondit%C3%A0.pdf,"Primary ISTAT PDF downloaded; total_births 473.438 corroborated by web search of ISTAT press release ('almost 12,000 fewer than 2015'). top30% and top5 exact counts from nomix.it (cites 'Fonte: ISTAT, Novembre 2017'); not individually re-verified against raw PDF text by full manual read."
2015,485780,46.15,39.32,Francesco;Alessandro;Mattia;Lorenzo;Leonardo,8763;6708;6402;6389;6144,Sofia;Aurora;Giulia;Giorgia;Alice,7191;6687;6222;4099;3845,https://www.istat.it/wp-content/uploads/2016/11/Statistica-report-Nati.pdf,"Primary ISTAT PDF downloaded (21pp, 'Statistica-report-Nati.pdf' = anno 2015 report, published 28 Nov 2016). total_births 485.780 corroborated by web search. top30% and top5 exact counts from nomix.it (cites 'Fonte: ISTAT, Novembre 2016'); not individually re-verified against raw PDF text by full manual read."
