year,country,rank,title,character,sex,notes
1999,US,1,Star Wars: The Phantom Menace,Padme,F,Top 1 US Box Office ($431M)
1999,US,2,The Sixth Sense,Cole,M,Top 2 US Box Office ($293M)
1999,US,3,Toy Story 2,Jessie,F,Top 3 US Box Office ($245M)
2000,US,1,How the Grinch Stole Christmas,Cindy,F,Top 1 US Box Office ($260M)
2000,US,2,Cast Away,Chuck,M,Top 2 US Box Office ($233M)
2000,US,3,Gladiator,Maximus,M,Top 3 US Box Office ($187M)
2001,US,1,Harry Potter and the Sorcerer's Stone,Harry,M,Top 1 US Box Office ($317M)
2001,US,2,The Lord of the Rings: The Fellowship of the Ring,Arwen,F,Top 2 US Box Office ($315M)
2001,US,3,Shrek,Fiona,F,Top 3 US Box Office ($267M)
2002,US,1,Spider-Man,Peter,M,Top 1 US Box Office ($403M)
2002,US,2,The Lord of the Rings: The Two Towers,Eowyn,F,Top 2 US Box Office ($342M)
2002,US,3,Star Wars: Attack of the Clones,Padme,F,Top 3 US Box Office ($310M)
2003,US,1,The Lord of the Rings: The Return of the King,Arwen,F,Top 1 US Box Office ($377M)
2003,US,2,Finding Nemo,Nemo,M,Top 2 US Box Office ($339M)
2003,US,3,Pirates of the Caribbean: The Curse of the Black Pearl,Jack,M,Top 3 US Box Office ($305M)
2004,US,1,Shrek 2,Fiona,F,Top 1 US Box Office ($441M)
2004,US,2,Spider-Man 2,Peter,M,Top 2 US Box Office ($373M)
2005,US,1,Star Wars: Revenge of the Sith,Padme,F,Top 1 US Box Office ($380M)
2005,US,2,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Lucy,F,Top 2 US Box Office ($291M)
2006,US,1,Pirates of the Caribbean: Dead Man's Chest,Jack,M,Top 1 US Box Office ($423M)
2006,US,2,Night at the Museum,Larry,M,Top 2 US Box Office ($250M)
2007,US,1,Spider-Man 3,Peter,M,Top 1 US Box Office ($336M)
2007,US,2,Transformers,Sam,M,Top 2 US Box Office ($319M)
2008,US,1,The Dark Knight,Bruce,M,Top 1 US Box Office ($533M)
2008,US,2,Iron Man,Tony,M,Top 2 US Box Office ($318M)
2008,US,3,Twilight,Isabella,F,Top Teen Fantasy Franchise ($192M)
2008,US,4,Twilight,Bella,F,Top Teen Fantasy Franchise ($192M)
2009,US,1,Avatar,Neytiri,F,Top 1 Worldwide Box Office ($749M US)
2009,US,2,Transformers: Revenge of the Fallen,Sam,M,Top 2 US Box Office ($402M)
2010,US,1,Toy Story 3,Woody,M,Top 1 US Box Office ($415M)
2010,US,2,Alice in Wonderland,Alice,F,Top 2 US Box Office ($334M)
2011,US,1,Harry Potter and the Deathly Hallows – Part 2,Harry,M,Top 1 US Box Office ($381M)
2011,US,2,Transformers: Dark of the Moon,Sam,M,Top 2 US Box Office ($352M)
2011,US,3,Game of Thrones,Khaleesi,F,HBO #1 Drama Series Debut 2011
2011,US,4,Game of Thrones,Arya,F,HBO #1 Drama Series Debut 2011
2012,US,1,The Avengers,Natasha,F,Top 1 US Box Office ($623M)
2012,US,2,The Dark Knight Rises,Bruce,M,Top 2 US Box Office ($448M)
2013,US,1,The Hunger Games: Catching Fire,Katniss,F,Top 1 US Box Office ($424M)
2013,US,2,Frozen,Elsa,F,Top Animated Film ($400M US / $1.28B WW)
2013,US,3,Frozen,Anna,F,Top Animated Film ($400M US / $1.28B WW)
2014,US,1,American Sniper,Chris,M,Top 1 US Box Office ($350M)
2014,US,2,The Hunger Games: Mockingjay – Part 1,Katniss,F,Top 2 US Box Office ($337M)
2015,US,1,Star Wars: The Force Awakens,Rey,F,Top 1 US Box Office ($936M)
2015,US,2,Star Wars: The Force Awakens,Kylo,M,Top 1 US Box Office ($936M)
2015,US,3,Jurassic World,Claire,F,Top 2 US Box Office ($652M)
2016,US,1,Rogue One: A Star Wars Story,Jyn,F,Top 1 US Box Office ($532M)
2016,US,2,Finding Dory,Dory,F,Top 2 US Box Office ($486M)
2017,US,1,Star Wars: The Last Jedi,Rey,F,Top 1 US Box Office ($620M)
2017,US,2,Beauty and the Beast,Belle,F,Top 2 US Box Office ($504M)
2018,US,1,Black Panther,T'Challa,M,Top 1 US Box Office ($700M)
2018,US,2,Black Panther,Nakia,F,Top 1 US Box Office ($700M)
2018,US,3,Avengers: Infinity War,Wanda,F,Top 2 US Box Office ($678M)
2019,US,1,Avengers: Endgame,Tony,M,Top 1 US Box Office ($858M)
2019,US,2,The Lion King,Simba,M,Top 2 US Box Office ($543M)
2020,US,1,Bad Boys for Life,Marcus,M,Top 1 US Box Office ($206M)
2021,US,1,Spider-Man: No Way Home,Peter,M,Top 1 US Box Office ($804M)
2022,US,1,Top Gun: Maverick,Pete,M,Top 1 US Box Office ($718M)
2023,US,1,Barbie,Margot,F,Top 1 US Box Office ($636M)
2023,US,2,Barbie,Barbie,F,Top 1 US Box Office ($636M)
2023,US,3,Oppenheimer,Robert,M,Top 3 US Box Office ($326M)
1999,IT,1,Chiedimi se sono felice,Aldo,M,Cinetel Top Box Office Italia (€28.4M)
2000,IT,1,Chiedimi se sono felice,Giacomo,M,Cinetel Top Box Office Italia (€28.4M)
2001,IT,1,Harry Potter e la pietra filosofale,Harry,M,Cinetel #1 Incasso Italia 2001 (€27.1M)
2001,IT,2,Il Signore degli Anelli - La Compagnia dell'Anello,Frodo,M,Cinetel #2 Incasso Italia 2001 (€22.7M)
2001,IT,3,Il Signore degli Anelli - La Compagnia dell'Anello,Arwen,F,Cinetel #2 Incasso Italia 2001 (€22.7M)
2002,IT,1,Natale sul Nilo,Christian,M,Cinetel #1 Incasso Italia 2002 (€28.2M)
2002,IT,2,Pinocchio,Pinocchio,M,Cinetel #2 Incasso Italia 2002 (€26.1M)
2003,IT,1,Il paradiso all'improvviso,Leonardo,M,Cinetel #1 Incasso Italia 2003 (€24.9M)
2003,IT,2,Il Signore degli Anelli - Il ritorno del re,Frodo,M,Cinetel #2 Incasso Italia 2003 (€23.7M)
2004,IT,1,Shrek 2,Fiona,F,Cinetel Top Box Office Italia 2004
2005,IT,1,Manuale d'amore,Tommaso,M,Cinetel Top Box Office Italia 2005
2006,IT,1,Il codice da Vinci,Robert,M,Cinetel #1 Incasso Italia 2006 (€28.6M)
2006,IT,2,Natale a New York,Lillo,M,Cinetel #2 Incasso Italia 2006 (€23.5M)
2007,IT,1,Natale in crociera,Fabio,M,Cinetel #1 Incasso Italia 2007 (€23.4M)
2007,IT,2,Coco Chanel (Miniserie TV),Chanel,F,Auditel / Rai #1 Miniserie Pop Impact
2008,IT,1,Madagascar 2,Alex,M,Cinetel #1 Incasso Italia 2008 (€25.0M)
2008,IT,2,Twilight,Isabella,F,Cinetel Top Teen Franchise 2008
2009,IT,1,Avatar,Neytiri,F,Cinetel #1 Incasso Storico Italia (€68.6M)
2009,IT,2,L'era glaciale 3,Diego,M,Cinetel #2 Incasso Italia 2009 (€29.7M)
