year,country,rank,title,character,sex,notes
1999,US,1,Believe,Cher,F,Billboard Hot 100 #1 Year-End Single
1999,US,2,Baby One More Time,Britney,F,Billboard 200 #1 Debut Album
1999,US,3,Genie in a Bottle,Christina,F,Billboard Hot 100 #1 Single
2000,US,1,Breathe,Faith,F,Billboard Hot 100 #1 Year-End Single (Faith Hill)
2001,US,1,Fallin',Alicia,F,Grammy Song of the Year / #1 Billboard (Alicia Keys)
2001,US,2,Whenever Wherever,Shakira,F,Billboard Pop Breakout Single
2002,US,1,Foolish,Ashanti,F,Billboard Hot 100 #1 Single (10 weeks)
2002,US,2,Complicated,Avril,F,Billboard Pop Breakout Single (Avril Lavigne)
2003,US,1,Crazy in Love,Beyonce,F,Billboard Hot 100 #1 Single
2004,US,1,Goodies,Ciara,F,Billboard Hot 100 #1 Single
2005,US,1,We Belong Together,Mariah,F,Billboard Hot 100 #1 Year-End Single (Mariah Carey)
2005,US,2,Pon de Replay,Rihanna,F,Billboard #2 Pop Breakout Single
2006,US,1,Hannah Montana,Miley,F,Billboard 200 #1 Album Debut (Miley Cyrus)
2006,US,2,Taylor Swift,Taylor,F,Billboard Country Album Debut
2007,US,1,Irreplaceable,Beyonce,F,Billboard Hot 100 #1 Year-End Single
2007,US,2,Big Girls Don't Cry,Fergie,F,Billboard Hot 100 #1 Single
2008,US,1,I Kissed a Girl,Katy,F,Billboard Hot 100 #1 Single (Katy Perry)
2008,US,2,Just Dance,Gaga,F,Billboard Hot 100 #1 Single (Lady Gaga)
2009,US,1,Fearless,Taylor,F,Billboard 200 #1 Year-End Album (Taylor Swift)
2010,US,1,Tik Tok,Kesha,F,Billboard Hot 100 #1 Year-End Single
2011,US,1,Rolling in the Deep,Adele,F,Billboard Hot 100 #1 Year-End Single
2011,US,2,Super Bass,Nicki,F,Billboard Pop Breakout Single (Nicki Minaj)
2012,US,1,Call Me Maybe,Carly,F,Billboard Hot 100 #1 Pop Hit (Carly Rae Jepsen)
2013,US,1,Royals,Lorde,F,Billboard Hot 100 #1 Single (9 weeks)
2014,US,1,All About That Bass,Meghan,F,Billboard Hot 100 #1 Single (Meghan Trainor)
2014,US,2,Problem,Ariana,F,Billboard Pop Breakout Single (Ariana Grande)
2015,US,1,Hello,Adele,F,Billboard Hot 100 #1 Debut Single
2016,US,1,Work,Rihanna,F,Billboard Hot 100 #1 Single
2017,US,1,Bodak Yellow,Cardi,F,Billboard Hot 100 #1 Single (Cardi B)
2018,US,1,New Rules,Dua,F,Billboard Pop Breakout Single (Dua Lipa)
2019,US,1,Bad Guy,Billie,F,Grammy Album of the Year / #1 Single (Billie Eilish)
2020,US,1,Say So,Doja,F,Billboard Hot 100 #1 Single (Doja Cat)
2021,US,1,Drivers License,Olivia,F,Billboard Hot 100 #1 Single (Olivia Rodrigo)
2022,US,1,As It Was,Harry,M,Billboard Hot 100 #1 Single (Harry Styles)
2023,US,1,Flowers,Miley,F,Billboard Hot 100 #1 Single (Miley Cyrus)
2024,US,1,Espresso,Sabrina,F,Billboard Pop Hit #1 (Sabrina Carpenter)
1999,IT,1,La mia risposta,Laura,F,FIMI Top Album / Sanremo Impact (Laura Pausini)
2001,IT,1,Luce (Tramonti a nord est),Elisa,F,Sanremo #1 Vincitrice / FIMI #1 Single
2002,IT,1,Whenever Wherever,Shakira,F,FIMI #1 Single Italia 2002
2003,IT,1,Gocce di memoria,Giorgia,F,FIMI #1 Single Italia 2003
2006,IT,1,Sei nell'anima,Gianna,F,FIMI #1 Single Italia (Gianna Nannini)
2008,IT,1,Non ti scordar mai di me,Giusy,F,FIMI #1 Single per 12 settimane (Giusy Ferreri)
2009,IT,1,Stupida,Alessandra,F,FIMI #1 Album Debut (Alessandra Amoroso)
2010,IT,1,Oltre,Emma,F,FIMI #1 Album Debut (Emma Marrone)
2011,IT,1,Rolling in the Deep,Adele,F,FIMI #1 Single Italia 2011
2012,IT,1,La notte,Arisa,F,Sanremo / FIMI #1 Single Italia 2012
2013,IT,1,L'essenziale,Marco,M,Sanremo #1 Vincitore / FIMI Multi-Platino (Marco Mengoni)
2017,IT,1,Tutta colpa mia,Elodie,F,FIMI Certificato Platino / Sanremo 2017
2018,IT,1,Il mondo prima di te,Annalisa,F,FIMI Multi-Platino Sanremo 2018
2019,IT,1,Soldi,Mahmood,M,Sanremo #1 Vincitore / FIMI Multi-Platino
2020,IT,1,Musica e il resto scomparirà,Elettra,F,FIMI Certificato Platino (Elettra Lamborghini)
2021,IT,1,Zitti e buoni,Damiano,M,Sanremo & Eurovision #1 Vincitore (Måneskin)
2021,IT,2,Grande Fratello VIP 6,Soleil,F,Mediaset Auditel Protagonista Pop Culture
2022,IT,1,Brividi,Blanco,M,Sanremo #1 Vincitore / FIMI 8x Platino
2023,IT,1,Cenere,Lazza,M,FIMI 9x Platino / Record Streaming Italia 2023
2023,IT,2,Sanremo 2023 Performance,Celine,F,FIMI / RAI Esibizione Sanremo 2023
2024,IT,1,La noia,Angelina,F,Sanremo #1 Vincitrice / FIMI Multi-Platino (Angelina Mango)
