category,year,country,title,character,sex,peak_year,peak_freq_per_100k,t5_year,t5_freq_per_100k,persistence_p5_pct,status,did_net_effect_pct
Cinema & TV,1999,US,The Sixth Sense,Cole,M,2000,301.73,2005,279.73,92.7,Adozione Strutturale (Persistente),26.58
Cinema & TV,1999,US,Toy Story 2,Jessie,F,2000,39.59,2005,27.44,69.3,Decadimento Moderato,-21.22
Cinema & TV,2000,US,How the Grinch Stole Christmas,Cindy,F,2001,68.42,2006,46.34,67.7,Decadimento Moderato,-3.43
Cinema & TV,2000,US,Cast Away,Chuck,M,2001,0.87,2006,0.54,61.2,Decadimento Moderato,-12.62
Cinema & TV,2000,US,Gladiator,Maximus,M,2002,46.97,2007,47.99,102.2,Adozione Strutturale (Persistente),7730.01
Cinema & TV,2001,US,Harry Potter and the Sorcerer's Stone,Harry,M,2003,22.63,2008,18.68,82.5,Adozione Strutturale (Persistente),-1.84
Cinema & TV,2001,US,The Lord of the Rings: The Fellowship of the Ring,Arwen,F,2003,6.4,2008,4.55,71.0,Adozione Strutturale (Persistente),875.95
Cinema & TV,2001,US,Shrek,Fiona,F,2003,48.44,2008,50.98,105.3,Adozione Strutturale (Persistente),64.01
Cinema & TV,2002,US,Spider-Man,Peter,M,2003,141.95,2008,107.15,75.5,Adozione Strutturale (Persistente),-10.35
Cinema & TV,2002,US,The Lord of the Rings: The Two Towers,Eowyn,F,2004,3.49,2009,2.99,85.9,Adozione Strutturale (Persistente),369.07
Cinema & TV,2003,US,The Lord of the Rings: The Return of the King,Arwen,F,2004,9.04,2009,4.41,48.8,Decadimento Moderato,650.5
Cinema & TV,2003,US,Finding Nemo,Nemo,M,2004,0.25,2021,0.46,181.5,Adozione Strutturale (Persistente),-24.71
Cinema & TV,2003,US,Pirates of the Caribbean: The Curse of the Black Pearl,Jack,M,2005,546.04,2010,444.06,81.3,Adozione Strutturale (Persistente),21.45
Cinema & TV,2004,US,Shrek 2,Fiona,F,2006,52.12,2011,68.84,132.1,Adozione Strutturale (Persistente),14.93
Cinema & TV,2004,US,Spider-Man 2,Peter,M,2005,127.92,2010,100.85,78.8,Adozione Strutturale (Persistente),-14.48
Cinema & TV,2005,US,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Lucy,F,2007,133.67,2012,216.8,162.2,Adozione Strutturale (Persistente),68.34
Cinema & TV,2006,US,Pirates of the Caribbean: Dead Man's Chest,Jack,M,2007,514.16,2012,418.62,81.4,Adozione Strutturale (Persistente),8.25
Cinema & TV,2006,US,Night at the Museum,Larry,M,2007,46.4,2012,34.74,74.9,Adozione Strutturale (Persistente),-1.28
