country,year,num_unisex_names,unisex_births,total_births,unisex_share_pct
US,1999,566,269907,3693972,7.307
US,2000,589,268038,3780036,7.091
US,2001,600,255558,3743504,6.827
US,2002,585,253990,3738396,6.794
US,2003,593,248953,3802494,6.547
US,2004,621,275030,3821228,7.197
US,2005,618,282500,3845146,7.347
US,2006,658,293920,3956482,7.429
US,2007,681,306146,3998030,7.657
US,2008,702,293518,3931088,7.467
US,2009,692,290367,3820686,7.6
US,2010,678,264537,3696270,7.157
US,2011,696,259966,3658318,7.106
US,2012,704,259103,3657998,7.083
US,2013,703,257242,3646326,7.055
US,2014,691,261878,3707226,7.064
US,2015,718,274249,3701840,7.408
US,2016,713,268534,3669760,7.317
US,2017,748,268786,3577416,7.513
US,2018,738,277661,3517232,7.894
US,2019,768,278038,3472582,8.007
US,2020,762,285536,3342624,8.542
US,2021,804,311283,3390342,9.181
US,2022,828,318930,3386138,9.419
US,2023,805,303398,3315158,9.152
US,2024,783,294458,3343078,8.808
IT,1999,1,264,444113,0.059
IT,2000,29,923,502680,0.184
IT,2001,15,569,481968,0.118
IT,2002,18,580,479856,0.121
IT,2003,5,351,470124,0.075
IT,2004,16,742,487124,0.152
IT,2005,11,742,473378,0.157
IT,2006,8,657,473420,0.139
IT,2007,9,580,474599,0.122
IT,2008,23,917,501809,0.183
IT,2009,23,941,486628,0.193
IT,2010,19,943,472410,0.2
IT,2011,23,944,460104,0.205
IT,2012,9,468,436653,0.107
IT,2013,19,850,425054,0.2
IT,2014,23,754,423787,0.178
IT,2015,25,803,419551,0.191
IT,2016,1,111,383003,0.029
IT,2017,1,88,359921,0.024
IT,2018,0,0,328152,0.0
IT,2019,0,0,310713,0.0
IT,2020,0,0,318145,0.0
IT,2021,0,0,272642,0.0
IT,2022,27,731,392572,0.186
IT,2023,33,829,379234,0.219
IT,2024,32,798,368527,0.217
