depth,mean_cosine_bias,mean_cosine_bias_percent
137,-0.015936,-7.2059
246,-0.008449,-3.7423
247,-0.008449,-3.7421
377,-0.004469,-1.9399
466,-0.003444,-1.4829
474,-0.003341,-1.4392
736,-0.001839,-0.7794
1004,-0.001095,-0.4653
1019,-0.001065,-0.4522
1135,-0.0009,-0.3845
1242,-0.000799,-0.3409
1321,-0.000694,-0.295
1484,-0.000599,-0.2542
1567,-0.000523,-0.2232
1726,-0.00047,-0.2018
1737,-0.000465,-0.199
2055,-0.000368,-0.1589
2258,-0.000341,-0.1476
2274,-0.000339,-0.1469
2421,-0.000322,-0.1399
2608,-0.000276,-0.1204
2765,-0.000256,-0.1125
5577,-9.8e-05,-0.0432
