name,gender,year,count,baseline,ratio,births_lost,score
NICOLO,m,2012,71,3063,0.023,2992,2992.0
NICOLO,m,2011,99,3063,0.032,2964,2964.0
NICCOLO,m,2012,94,1087,0.086,993,993.0
NICCOLO,m,2011,104,1087,0.096,983,983.0
ERICA,f,2002,416,863,0.482,447,447.0
DESIRE,f,2012,14,218,0.064,204,204.0
DESIRE,f,2011,25,226,0.111,201,201.0
GIOSUE,m,2011,17,177,0.096,160,160.0
GIOSUE,m,2012,18,171,0.105,153,153.0
FABIANO,m,2009,59,201,0.294,142,142.0
KAROL,m,2008,54,156,0.346,102,102.0
ENRICA,f,2002,91,184,0.495,93,93.0
FABIANA,f,2020,57,142,0.401,85,85.0
DATO MANCANTE,f,2001,47,122,0.385,75,75.0
ASJA,f,2002,35,108,0.324,73,73.0
DATO MANCANTE,f,2000,53,122,0.434,69,69.0
ASJA,f,2001,64,133,0.481,69,69.0
FABIANO,m,2010,46,113,0.407,67,67.0
NICCOLO,m,2013,40,104,0.385,64,64.0
MANUELA,f,2020,57,121,0.471,64,64.0
ALESSIA MARIA,f,2020,43,102,0.422,59,59.0
MONICA,f,2020,51,103,0.495,52,52.0
