name,gender,year,count,baseline,ratio,score
KAROL,m,2005,156,2,78.0,12168.0
GAIA,f,2001,4712,2273,2.07,9768.1
CRISTIAN,m,2007,3499,1619,2.16,7562.1
EMMA,f,2005,2550,1148,2.22,5664.2
DIEGO,m,2005,2305,1106,2.08,4803.8
CELINE,f,2024,661,108,6.12,4045.6
MIA,f,2013,1420,502,2.83,4016.7
FLAVIO,m,2002,1008,294,3.43,3456.0
SOLE,f,2022,916,244,3.75,3438.8
GIOIA,f,2014,1487,678,2.19,3261.3
SOLE,f,2023,1088,379,2.87,3123.3
CHANEL,f,2008,158,8,19.75,3120.5
MELISSA,f,2006,1512,750,2.02,3048.2
FLAVIO,m,2003,965,311,3.1,2994.3
MIA,f,2012,1046,367,2.85,2981.2
FRANCESCO PIO,m,2002,1171,503,2.33,2726.1
ISABEL,f,2017,1218,570,2.14,2602.7
ADELE,f,2012,1075,449,2.39,2573.8
ADELE,f,2013,1197,576,2.08,2487.5
THIAGO,m,2024,744,224,3.32,2471.1
SOLEIL,f,2022,474,98,4.84,2292.6
SOPHIE,f,2022,789,272,2.9,2288.7
CHLOE,f,2014,493,111,4.44,2189.6
SOLEIL,f,2023,473,104,4.55,2151.2
KAROL,f,2005,115,7,16.43,1889.3
DESIREE,f,2003,859,392,2.19,1882.3
DENNIS,m,2002,659,249,2.65,1744.1
DESIREE,f,2004,818,392,2.09,1706.9
CELINE,f,2023,296,60,4.93,1460.3
NATHAN,m,2011,355,87,4.08,1448.6
ANDREA,f,2013,281,55,5.11,1435.7
ELODIE,f,2017,135,13,10.38,1401.9
CHLOE,f,2015,558,247,2.26,1260.6
CRISTIANO,m,2006,600,292,2.05,1232.9
SIRIA,f,2009,605,299,2.02,1224.2
MALAK,f,2009,411,140,2.94,1206.6
RAYAN,m,2007,295,78,3.78,1115.7
DENNIS,m,2000,362,118,3.07,1110.5
SANTIAGO,m,2014,329,99,3.32,1093.3
CELESTE,f,2013,472,206,2.29,1081.5
ADAM,m,2007,516,247,2.09,1078.0
NATHAN,m,2012,420,166,2.53,1062.7
ELODIE,f,2016,117,13,9.0,1053.0
FRANCESCA PIA,f,2002,457,200,2.29,1044.2
THIAGO,m,2023,460,203,2.27,1042.4
RAYAN,m,2008,387,146,2.65,1025.8
ANDREA,f,2014,237,55,4.31,1021.3
ILARY,f,2007,285,82,3.48,990.5
CLOE,f,2014,474,231,2.05,972.6
FABIANO,m,2006,210,46,4.57,958.7
GIOIA,f,2003,371,146,2.54,942.7
GIOVANNI PAOLO,m,2005,168,30,5.6,940.8
PERLA,f,2024,320,113,2.83,906.2
LIAM,m,2013,308,105,2.93,903.5
FABIANO,m,2007,201,47,4.28,859.6
KAROL,f,2006,97,11,8.82,855.4
GIOVANNI PAOLO,m,2006,162,31,5.23,846.6
THEO,m,2023,230,63,3.65,839.7
MARISOL,f,2005,89,10,8.9,792.1
SANTIAGO,m,2015,371,175,2.12,786.5
DARIA,f,2001,312,136,2.29,715.8
KRISTEL,f,2006,98,14,7.0,686.0
NICOLO,m,2023,288,121,2.38,685.5
ILARY,f,2006,168,45,3.73,627.2
NICOLO,m,2022,251,103,2.44,611.7
PENELOPE,f,2012,249,106,2.35,584.9
ALEXANDRA,f,2005,219,83,2.64,577.8
CHLOE,f,2013,247,108,2.29,564.9
RAYAN,m,2006,146,38,3.84,560.9
THEO,m,2022,143,38,3.76,538.1
ACHILLE,m,2008,243,112,2.17,527.2
MALAK,f,2008,256,125,2.05,524.3
ARIA,f,2024,225,98,2.3,516.6
NOUR,f,2015,204,81,2.52,513.8
ADAM,m,2005,247,120,2.06,508.4
