year,country,title,character,sex,pre_freq_per_100k,post_freq_per_100k,jump_ratio,delta_pct,control_delta_pct,did_net_effect_pct,notes
1999,US,The Sixth Sense,Cole,M,246.76,298.56,1.21,20.99,-5.59,26.58,Top 2 US Box Office ($293M)
1999,US,Toy Story 2,Jessie,F,48.89,36.76,0.75,-24.81,-3.59,-21.22,Top 3 US Box Office ($245M)
2000,US,How the Grinch Stole Christmas,Cindy,F,76.63,68.19,0.89,-11.02,-7.59,-3.43,Top 1 US Box Office ($260M)
2000,US,Cast Away,Chuck,M,0.84,0.75,0.89,-11.23,1.39,-12.62,Top 2 US Box Office ($233M)
2000,US,Gladiator,Maximus,M,0.59,46.44,78.28,7728.12,-1.88,7730.01,Top 3 US Box Office ($187M)
2001,US,Harry Potter and the Sorcerer's Stone,Harry,M,23.89,22.59,0.95,-5.44,-3.59,-1.84,Top 1 US Box Office ($317M)
2001,US,The Lord of the Rings: The Fellowship of the Ring,Arwen,F,0.45,4.34,9.76,875.63,-0.32,875.95,Top 2 US Box Office ($315M)
2001,US,Shrek,Fiona,F,30.59,48.09,1.57,57.21,-6.8,64.01,Top 3 US Box Office ($267M)
2002,US,Spider-Man,Peter,M,163.74,141.25,0.86,-13.73,-3.38,-10.35,Top 1 US Box Office ($403M)
2002,US,The Lord of the Rings: The Two Towers,Eowyn,F,0.5,2.34,4.67,367.23,-1.85,369.07,Top 2 US Box Office ($342M)
2003,US,The Lord of the Rings: The Return of the King,Arwen,F,1.15,8.58,7.47,647.34,-3.16,650.5,Top 1 US Box Office ($377M)
2003,US,Finding Nemo,Nemo,M,0.31,0.25,0.82,-18.49,6.22,-24.71,Top 2 US Box Office ($339M)
2003,US,Pirates of the Caribbean: The Curse of the Black Pearl,Jack,M,432.23,514.33,1.19,19.0,-2.45,21.45,Top 3 US Box Office ($305M)
2004,US,Shrek 2,Fiona,F,44.91,48.9,1.09,8.89,-6.04,14.93,Top 1 US Box Office ($441M)
2004,US,Spider-Man 2,Peter,M,147.25,124.32,0.84,-15.58,-1.1,-14.48,Top 2 US Box Office ($373M)
2005,US,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Lucy,F,79.2,126.25,1.59,59.4,-8.94,68.34,Top 2 US Box Office ($291M)
2006,US,Pirates of the Caribbean: Dead Man's Chest,Jack,M,500.12,499.64,1.0,-0.1,-8.35,8.25,Top 1 US Box Office ($423M)
2006,US,Night at the Museum,Larry,M,44.93,43.39,0.97,-3.42,-2.14,-1.28,Top 2 US Box Office ($250M)
2007,US,Spider-Man 3,Peter,M,129.73,104.22,0.8,-19.67,-8.59,-11.08,Top 1 US Box Office ($336M)
2007,US,Transformers,Sam,M,28.79,29.57,1.03,2.71,-3.2,5.91,Top 2 US Box Office ($319M)
2008,US,The Dark Knight,Bruce,M,27.31,27.41,1.0,0.36,-3.89,4.25,Top 1 US Box Office ($533M)
2008,US,Iron Man,Tony,M,49.26,39.86,0.81,-19.07,-7.52,-11.55,Top 2 US Box Office ($318M)
2008,US,Twilight,Isabella,F,925.67,1252.64,1.35,35.32,-12.51,47.84,Top Teen Fantasy Franchise ($192M)
2008,US,Twilight,Bella,F,103.55,268.03,2.59,158.85,-14.48,173.33,Top Teen Fantasy Franchise ($192M)
2009,US,Transformers: Revenge of the Fallen,Sam,M,29.32,28.71,0.98,-2.08,-7.95,5.88,Top 2 US Box Office ($402M)
2010,US,Toy Story 3,Woody,M,0.42,0.47,1.12,12.3,1.24,11.06,Top 1 US Box Office ($415M)
2010,US,Alice in Wonderland,Alice,F,57.73,133.46,2.31,131.19,-9.36,140.55,Top 2 US Box Office ($334M)
2011,US,Harry Potter and the Deathly Hallows – Part 2,Harry,M,19.0,17.32,0.91,-8.87,-6.86,-2.01,Top 1 US Box Office ($381M)
2011,US,Transformers: Dark of the Moon,Sam,M,29.27,26.13,0.89,-10.72,-6.5,-4.22,Top 2 US Box Office ($352M)
2011,US,Game of Thrones,Arya,F,13.03,54.0,4.14,314.36,-7.33,321.69,HBO #1 Drama Series Debut 2011
2012,US,The Avengers,Natasha,F,38.4,26.5,0.69,-30.98,-5.65,-25.33,Top 1 US Box Office ($623M)
2012,US,The Dark Knight Rises,Bruce,M,28.35,38.89,1.37,37.18,-6.38,43.57,Top 2 US Box Office ($448M)
2013,US,The Hunger Games: Catching Fire,Katniss,F,0.68,1.9,2.79,179.41,-13.81,193.22,Top 1 US Box Office ($424M)
2013,US,Frozen,Elsa,F,28.85,50.34,1.75,74.5,-8.59,83.09,Top Animated Film ($400M US / $1.28B WW)
2013,US,Frozen,Anna,F,332.92,303.96,0.91,-8.7,-7.07,-1.63,Top Animated Film ($400M US / $1.28B WW)
2014,US,American Sniper,Chris,M,32.58,28.39,0.87,-12.87,-1.04,-11.84,Top 1 US Box Office ($350M)
2014,US,The Hunger Games: Mockingjay – Part 1,Katniss,F,0.83,1.74,2.11,111.27,-14.49,125.77,Top 2 US Box Office ($337M)
2015,US,Star Wars: The Force Awakens,Kylo,M,0.39,10.73,27.31,2631.49,2.19,2629.29,Top 1 US Box Office ($936M)
2015,US,Jurassic World,Claire,F,275.7,283.35,1.03,2.77,-6.18,8.96,Top 2 US Box Office ($652M)
2017,US,Star Wars: The Last Jedi,Rey,F,3.56,3.19,0.9,-10.24,-4.65,-5.59,Top 1 US Box Office ($620M)
2017,US,Beauty and the Beast,Belle,F,14.88,18.32,1.23,23.08,-5.52,28.6,Top 2 US Box Office ($504M)
2018,US,Black Panther,Nakia,F,0.83,1.42,1.71,71.38,-9.44,80.82,Top 1 US Box Office ($700M)
2018,US,Avengers: Infinity War,Wanda,F,1.57,0.94,0.6,-39.94,-8.02,-31.92,Top 2 US Box Office ($678M)
2019,US,Avengers: Endgame,Tony,M,27.97,23.57,0.84,-15.72,-1.6,-14.12,Top 1 US Box Office ($858M)
2019,US,The Lion King,Simba,M,0.52,0.98,1.88,87.84,-1.57,89.41,Top 2 US Box Office ($543M)
2020,US,Bad Boys for Life,Marcus,M,103.57,88.54,0.85,-14.51,-3.74,-10.77,Top 1 US Box Office ($206M)
