year,country,title,character,sex,pre_freq_per_100k,post_freq_per_100k,jump_ratio,delta_pct,control_delta_pct,did_net_effect_pct,notes
1999,US,NBA Finals Champions (Lakers),Kobe,M,26.97,76.4,2.83,183.24,-4.64,187.87,NBA Champion & All-Star (Kobe Bryant)
2000,US,NBA Finals Champions (Lakers),Shaquille,M,3.53,1.88,0.53,-46.7,2.52,-49.22,NBA Finals MVP & Champion (Shaquille O'Neal)
2001,US,MLB World Series (NY Yankees),Derek,M,169.39,141.48,0.84,-16.48,-0.61,-15.86,World Series MVP & All-Star (Derek Jeter)
2002,US,NFL Super Bowl XXXVI,Tom,M,5.34,6.04,1.13,13.02,0.33,12.69,Super Bowl MVP & Champion (Tom Brady)
2003,US,NBA Draft #1 Pick,LeBron,M,0.31,4.67,15.12,1412.06,6.22,1405.84,NBA #1 Overall Draft Pick & Rookie of the Year
2004,US,NFL MVP Season,Peyton,M,96.39,136.52,1.42,41.63,-3.54,45.17,NFL MVP Record Season (Peyton Manning)
2006,US,NBA Finals Champions (Miami Heat),Dwyane,M,0.5,0.39,0.77,-23.01,-3.23,-19.78,NBA Finals MVP (Dwyane Wade)
2009,US,NBA Finals MVP (Lakers),Kobe,M,28.74,31.42,1.09,9.34,-7.05,16.39,NBA Finals MVP & Champion (Kobe Bryant)
2011,US,NBA MVP Season (Bulls),Derrick,M,56.33,53.69,0.95,-4.69,-6.72,2.03,Youngest NBA MVP in History (Derrick Rose)
2012,US,NBA Finals Champion (Heat),LeBron,M,4.37,2.52,0.58,-42.25,-5.43,-36.82,NBA Champion & Finals MVP (LeBron James)
2014,US,NBA MVP Season (Thunder),Kevin,M,329.56,255.29,0.77,-22.54,-7.85,-14.68,NBA MVP Award Winner (Kevin Durant)
2015,US,NBA Finals Champion (Warriors),Stephen,M,78.34,72.37,0.92,-7.62,-4.46,-3.16,NBA Champion & MVP (Stephen Curry)
2016,US,NBA Finals Champion (Cavs),Kyrie,M,35.26,94.64,2.68,168.4,-0.26,168.66,NBA Finals Game 7 Winning Shot (Kyrie Irving)
2017,US,NFL Super Bowl LI Champion,Tom,M,3.78,4.24,1.12,12.12,-0.72,12.83,Historic Super Bowl Comeback MVP (Tom Brady)
2019,US,NFL Super Bowl LIV Champion,Patrick,M,121.93,105.27,0.86,-13.66,-6.77,-6.89,Super Bowl MVP & Champion (Patrick Mahomes)
2020,US,NBA Finals Champion (Lakers),Anthony,M,451.09,383.32,0.85,-15.02,-12.47,-2.55,NBA Champion & All-NBA (Anthony Davis)
2021,US,NBA Finals Champion (Bucks),Giannis,M,6.23,8.67,1.39,39.25,0.82,38.43,NBA Finals MVP 50-point Game (Giannis Antetokounmpo)
2023,US,NBA Finals Champion (Nuggets),Nikola,M,8.1,6.12,0.76,-24.47,-3.33,-21.15,NBA Finals MVP (Nikola Jokić)
2000,IT,Euro 2000 Italia Vice-Campione,Francesco,M,3595.72,3782.02,1.05,5.18,-9.58,14.76,Stella Euro 2000 Cucchiaio vs Olanda (Totti)
2001,IT,Scudetto AS Roma,Gabriel,M,146.98,264.42,1.8,79.9,-13.49,93.39,Capocannoniere Scudetto Roma (Batistuta)
2003,IT,Champions League AC Milan,Andriy,M,1.47,4.57,3.11,210.53,91.45,119.08,Rigore Decisivo Finale Champions (Shevchenko)
2006,IT,Mondiali 2006 Campioni del Mondo,Gennaro,M,180.28,157.69,0.87,-12.53,-8.79,-3.74,FIFA All-Star Team & Auditel 25.2M spettatori (Gattuso)
2006,IT,Mondiali 2006 Campioni del Mondo,Gianluigi,M,29.86,17.11,0.57,-42.72,-0.54,-42.17,Premio Yashin Miglior Portiere (Buffon)
2006,IT,Mondiali 2006 Campioni del Mondo,Fabio,M,571.69,503.08,0.88,-12.0,-3.57,-8.43,Capitano Campione del Mondo & Pallone d'Oro (Cannavaro)
2006,IT,Mondiali 2006 Campioni del Mondo,Alessandro,M,3348.08,3209.22,0.96,-4.15,-6.47,2.32,Gol Semifinale vs Germania & Rigore Finale (Del Piero)
2007,IT,Champions League AC Milan,Filippo,M,1269.8,1198.64,0.94,-5.6,3.69,-9.29,Doppietta Finale Champions Atene (Inzaghi)
2010,IT,Triplete Inter Champions League,Diego,M,788.11,1052.11,1.33,33.5,-7.75,41.25,Doppietta Finale Champions Madrid (Milito)
2011,IT,Scudetto AC Milan,Thiago,M,6.41,52.08,8.12,712.24,-3.34,715.57,Miglior Difensore Serie A (Thiago Silva)
2012,IT,Euro 2012 Italia Vice-Campione,Mario,M,388.94,392.63,1.01,0.95,-0.92,1.87,Doppietta Semifinale vs Germania (Balotelli)
2018,IT,Trasferimento Record Serie A,Cristiano,M,118.09,136.99,1.16,16.0,1.88,14.12,Lega Serie A: Trasferimento Record Juventus (€117M)
2021,IT,Euro 2020 Campioni d'Europa,Nicolò,M,912.75,135.82,0.15,-85.12,-5.25,-79.87,Campione d'Europa UEFA Euro 2020 (Barella)
2021,IT,Euro 2020 Campioni d'Europa,Federico,M,1286.0,1225.96,0.95,-4.67,-4.14,-0.53,UEFA Euro 2020 Team of the Tournament (Chiesa)
2021,IT,Euro 2020 Campioni d'Europa,Ciro,M,158.07,170.97,1.08,8.17,-1.2,9.36,Scarpa d'Oro Europea & Euro 2020 (Immobile)
2023,IT,Scudetto SSC Napoli,Victor,M,31.43,27.46,0.87,-12.63,-3.54,-9.1,Capocannoniere Serie A Scudetto Napoli (Osimhen)
2024,IT,Scudetto Inter & Copa America,Lautaro,M,1.01,1.58,1.57,57.38,-29.61,86.99,Capocannoniere Serie A & MVP (Lautaro Martínez)
