name,sex,year,count,baseline,ratio,births_lost,score
Brittany,F,2001,2929,7942,0.369,5013,5013.0
Brittany,F,2002,1937,5185,0.374,3248,3248.0
Jase,M,2016,1596,3754,0.425,2158,2158.0
Katina,F,1975,506,2473,0.205,1967,1967.0
Sheena,F,1987,1154,3062,0.377,1908,1908.0
Alexa,F,2020,1285,3068,0.419,1783,1783.0
Katina,F,1974,766,2473,0.31,1707,1707.0
Woodrow,M,1920,774,2428,0.319,1654,1654.0
Kim,M,1958,1322,2960,0.447,1638,1638.0
Hillary,F,1994,409,1791,0.228,1382,1382.0
Brittney,F,2002,972,2316,0.42,1344,1344.0
Alexa,F,2021,708,2002,0.354,1294,1294.0
Jase,M,2017,1046,2297,0.455,1251,1251.0
Pat,F,1949,667,1824,0.366,1157,1157.0
Woodrow,M,1921,684,1808,0.378,1124,1124.0
Damon,M,1980,897,1981,0.453,1084,1084.0
Catina,F,1975,174,1236,0.141,1062,1062.0
Kaitlyn,F,2016,999,2060,0.485,1061,1061.0
Katelyn,F,2016,871,1924,0.453,1053,1053.0
Shaquille,M,1996,250,1270,0.197,1020,1020.0
Pam,F,1966,852,1870,0.456,1018,1018.0
Hilary,F,1994,145,1149,0.126,1004,1004.0
Bob,M,1950,976,1960,0.498,984,984.0
Arielle,F,1993,620,1569,0.395,949,949.0
Marquita,F,1986,440,1374,0.32,934,934.0
Catina,F,1974,328,1236,0.265,908,908.0
Bailey,M,2002,851,1755,0.485,904,904.0
Kristine,F,1954,866,1755,0.493,889,889.0
Clinton,M,1994,586,1467,0.399,881,881.0
Shanice,F,1995,481,1345,0.358,864,864.0
Kizzy,F,1979,269,1117,0.241,848,848.0
Marquita,F,1985,535,1374,0.389,839,839.0
Hilary,F,1993,344,1170,0.294,826,826.0
Pat,F,1950,440,1249,0.352,809,809.0
Shaquille,M,1995,494,1270,0.389,776,776.0
Bret,M,1961,741,1514,0.489,773,773.0
Kobe,M,2005,444,1213,0.366,769,769.0
Kobe,M,2004,625,1392,0.449,767,767.0
Damon,M,1981,684,1445,0.473,761,761.0
Hillary,F,1995,310,1064,0.291,754,754.0
Bob,M,1966,684,1432,0.478,748,748.0
Doug,M,1966,684,1409,0.485,725,725.0
Alexa,F,2022,577,1285,0.449,708,708.0
Sheree,F,1958,561,1269,0.442,708,708.0
Tevin,M,1996,519,1201,0.432,682,682.0
Aaden,M,2011,276,958,0.288,682,682.0
Katrina,F,2007,505,1174,0.43,669,669.0
Kizzy,F,1978,456,1117,0.408,661,661.0
Farrah,F,1979,200,836,0.239,636,636.0
Pam,F,1967,600,1218,0.493,618,618.0
Nakia,F,1977,364,972,0.374,608,608.0
Miley,F,2014,356,930,0.383,574,574.0
Ashanti,F,2005,398,962,0.414,564,564.0
Miley,F,2015,263,803,0.328,540,540.0
Tim,M,1973,523,1049,0.499,526,526.0
Forrest,M,1996,431,948,0.455,517,517.0
Zina,F,1966,164,679,0.242,515,515.0
Aaden,M,2010,450,958,0.47,508,508.0
Farrah,F,1978,332,836,0.397,504,504.0
Nakia,M,1976,110,613,0.179,503,503.0
Forrest,M,1997,370,858,0.431,488,488.0
Grover,M,1887,290,768,0.378,478,478.0
Shanice,F,1996,319,782,0.408,463,463.0
Nakia,M,1977,69,514,0.134,445,445.0
Rihanna,F,2011,381,825,0.462,444,444.0
Caitlyn,F,2016,249,692,0.36,443,443.0
Katrina,F,2008,420,855,0.491,435,435.0
Latoya,F,1993,377,810,0.465,433,433.0
Krystle,F,1991,372,801,0.464,429,429.0
Ron,M,1950,349,770,0.453,421,421.0
Dick,M,1949,340,755,0.45,415,415.0
Caitlin,F,2016,218,628,0.347,410,410.0
Jadyn,F,2011,294,692,0.425,398,398.0
Shaquille,M,1997,96,494,0.194,398,398.0
Allisson,F,2011,103,487,0.211,384,384.0
Anissa,F,1973,221,603,0.367,382,382.0
Jaheim,M,2005,172,552,0.312,380,380.0
Deion,M,1998,186,558,0.333,372,372.0
Jarod,M,2003,234,599,0.391,365,365.0
Dewey,M,1901,137,499,0.275,362,362.0
Latoya,F,1994,220,580,0.379,360,360.0
Judi,F,1949,242,601,0.403,359,359.0
Sharyn,F,1950,243,601,0.404,358,358.0
Isis,F,2015,117,467,0.251,350,350.0
Isis,F,2016,53,401,0.132,348,348.0
Levar,M,1979,175,523,0.335,348,348.0
Shaniqua,F,1994,259,604,0.429,345,345.0
Vonda,F,1967,321,664,0.483,343,343.0
Pam,F,1950,229,572,0.4,343,343.0
Pat,F,1951,325,667,0.487,342,342.0
Sharyn,F,1949,340,680,0.5,340,340.0
Dayanara,F,2010,215,553,0.389,338,338.0
