year,sex,total_births,distinct_names,shannon_entropy,top10_share,top50_share
1880,F,90994,942,7.591849,0.246489,0.584379
1880,M,110490,1058,6.885242,0.442167,0.702715
1880,both,201484,2000,8.197595,0.266349,0.517247
1881,F,91953,938,7.599520,0.241547,0.583657
1881,M,100735,996,6.887200,0.437991,0.701941
1881,both,192688,1934,8.225629,0.255745,0.511246
1882,F,107847,1028,7.638406,0.239413,0.580869
1882,M,113686,1099,6.972321,0.427194,0.693225
1882,both,221533,2127,8.296084,0.247268,0.501912
1883,F,112320,1054,7.678668,0.234224,0.576140
1883,M,104625,1030,6.952008,0.426284,0.697548
1883,both,216945,2084,8.327318,0.236318,0.496278
1884,F,129019,1172,7.733801,0.231439,0.571613
1884,M,114441,1125,7.048106,0.412265,0.685585
1884,both,243460,2297,8.408895,0.227265,0.487205
1885,F,133055,1197,7.769606,0.226530,0.567119
1885,M,107799,1097,7.079470,0.406766,0.680943
1885,both,240854,2294,8.452776,0.219000,0.480752
1886,F,144533,1282,7.808957,0.222019,0.561477
1886,M,110783,1110,7.086357,0.403871,0.679066
1886,both,255316,2392,8.482775,0.213774,0.476245
1887,F,145981,1306,7.835971,0.219145,0.559189
1887,M,101410,1067,7.099287,0.399418,0.677941
1887,both,247391,2373,8.510449,0.206103,0.471832
1888,F,178622,1474,7.897082,0.213585,0.551147
1888,M,120852,1177,7.167537,0.394185,0.671193
1888,both,299474,2651,8.575664,0.198758,0.464154
1889,F,178366,1479,7.918514,0.211828,0.547487
1889,M,110580,1111,7.161787,0.389257,0.671595
1889,both,288946,2590,8.588841,0.192524,0.460027
1890,F,190377,1534,7.955708,0.207478,0.542613
1890,M,111024,1161,7.210479,0.383656,0.666469
1890,both,301401,2695,8.630600,0.186506,0.453860
1891,F,185482,1533,7.971095,0.207206,0.540500
1891,M,101191,1127,7.239923,0.377257,0.661610
1891,both,286673,2660,8.649708,0.182581,0.450095
1892,F,212339,1661,8.000003,0.206340,0.537612
1892,M,122035,1260,7.305653,0.369845,0.655681
1892,both,334374,2921,8.693317,0.180032,0.448282
1893,F,212905,1652,8.004742,0.207849,0.536793
1893,M,112318,1179,7.297803,0.368383,0.655113
1893,both,325223,2831,8.690449,0.176516,0.447004
1894,F,222922,1702,8.045384,0.201842,0.529320
1894,M,115768,1239,7.355069,0.359149,0.649445
1894,both,338690,2941,8.735968,0.172107,0.438891
1895,F,233627,1808,8.081247,0.202588,0.526549
1895,M,117393,1241,7.378175,0.357066,0.647023
1895,both,351020,3049,8.765508,0.170383,0.436311
1896,F,237918,1825,8.088624,0.202898,0.526623
1896,M,119565,1266,7.426555,0.352193,0.640196
1896,both,357483,3091,8.786608,0.170733,0.433411
1897,F,234200,1799,8.099093,0.201341,0.522916
1897,M,112757,1229,7.414340,0.351632,0.643064
1897,both,346957,3028,8.786280,0.169375,0.430670
1898,F,258769,1975,8.151434,0.200294,0.517187
1898,M,122685,1289,7.428578,0.348991,0.643388
1898,both,381454,3264,8.825085,0.167457,0.427108
1899,F,233022,1842,8.130282,0.201505,0.518118
1899,M,106211,1200,7.458387,0.342789,0.635301
1899,both,339233,3042,8.816628,0.166555,0.425601
1900,F,299784,2223,8.220140,0.194847,0.508136
1900,M,150474,1506,7.547583,0.342192,0.628826
1900,both,450258,3729,8.914530,0.165201,0.415675
1901,F,239345,1943,8.185564,0.196185,0.509206
1901,M,106467,1210,7.502615,0.336076,0.627716
1901,both,345812,3153,8.866006,0.162383,0.418320
1902,F,264073,2042,8.199244,0.197646,0.508056
1902,M,122660,1320,7.539733,0.335741,0.624548
1902,both,386733,3362,8.891344,0.163340,0.416367
1903,F,261970,2083,8.209397,0.198763,0.508215
1903,M,119230,1306,7.562832,0.332223,0.621614
1903,both,381200,3389,8.903518,0.163030,0.415682
1904,F,275362,2165,8.231261,0.199675,0.504634
1904,M,128122,1395,7.608998,0.327251,0.615226
1904,both,403484,3560,8.935353,0.162118,0.411506
