year,sex,cosine_similarity,top100_overlap_count
1999,M,0.065677,11
1999,F,0.118467,13
2000,M,0.069584,11
2000,F,0.122046,13
2001,M,0.071576,11
2001,F,0.123745,12
2002,M,0.072422,12
2002,F,0.124957,12
2003,M,0.071366,12
2003,F,0.123118,14
2004,M,0.076018,12
2004,F,0.133987,14
2005,M,0.08214,12
2005,F,0.148266,13
2006,M,0.089415,13
2006,F,0.153487,15
2007,M,0.093629,13
2007,F,0.159286,14
2008,M,0.093905,12
2008,F,0.165687,11
2009,M,0.094734,12
2009,F,0.170331,11
2010,M,0.09926,13
2010,F,0.188027,12
2011,M,0.09986,14
2011,F,0.207799,13
2012,M,0.103147,13
2012,F,0.227556,13
2013,M,0.106632,13
2013,F,0.246958,14
2014,M,0.115778,14
2014,F,0.250209,15
2015,M,0.12582,14
2015,F,0.260498,18
2016,M,0.133873,15
2016,F,0.269692,20
2017,M,0.138008,15
2017,F,0.271141,22
2018,M,0.139835,16
2018,F,0.269025,22
2019,M,0.143441,18
2019,F,0.269944,21
2020,M,0.15328,19
2020,F,0.277738,21
2021,M,0.146607,19
2021,F,0.262726,20
2022,M,0.169756,20
2022,F,0.292002,21
2023,M,0.170079,20
2023,F,0.289082,23
2024,M,0.176413,19
2024,F,0.301695,24
