year,sex,overlap_count,overlap_pct,shared_names
1999,M,0,0.0,
1999,F,1,0.0333,ANNA
2000,M,0,0.0,
2000,F,1,0.0333,ANNA
2001,M,0,0.0,
2001,F,1,0.0333,ANNA
2002,M,1,0.0333,CHRISTIAN
2002,F,1,0.0333,ANNA
2003,M,0,0.0,
2003,F,1,0.0333,ANNA
2004,M,0,0.0,
2004,F,2,0.0667,ANNA;EMMA
2005,M,0,0.0,
2005,F,2,0.0667,ANNA;EMMA
2006,M,1,0.0333,CHRISTIAN
2006,F,2,0.0667,ANNA;EMMA
2007,M,1,0.0333,CHRISTIAN
2007,F,2,0.0667,ANNA;EMMA
2008,M,1,0.0333,CHRISTIAN
2008,F,2,0.0667,ANNA;EMMA
2009,M,1,0.0333,CHRISTIAN
2009,F,2,0.0667,ANNA;EMMA
2010,M,1,0.0333,CHRISTIAN
2010,F,3,0.1,ANNA;EMMA;SOFIA
2011,M,1,0.0333,CHRISTIAN
2011,F,2,0.0667,EMMA;SOFIA
2012,M,1,0.0333,GABRIEL
2012,F,2,0.0667,EMMA;SOFIA
2013,M,1,0.0333,GABRIEL
2013,F,2,0.0667,EMMA;SOFIA
2014,M,1,0.0333,GABRIEL
2014,F,3,0.1,EMMA;MIA;SOFIA
2015,M,1,0.0333,GABRIEL
2015,F,3,0.1,EMMA;MIA;SOFIA
2016,M,1,0.0333,GABRIEL
2016,F,3,0.1,EMMA;MIA;SOFIA
2017,M,0,0.0,
2017,F,3,0.1,EMMA;MIA;SOFIA
2018,M,0,0.0,
2018,F,3,0.1,EMMA;MIA;SOFIA
2019,M,0,0.0,
2019,F,3,0.1,EMMA;MIA;SOFIA
2020,M,0,0.0,
2020,F,4,0.1333,CHLOE;EMMA;MIA;SOFIA
2021,M,0,0.0,
2021,F,4,0.1333,CHLOE;EMMA;MIA;SOFIA
2022,M,1,0.0333,LUCA
2022,F,4,0.1333,CHLOE;EMMA;MIA;SOFIA
2023,M,1,0.0333,NOAH
2023,F,4,0.1333,AURORA;CHLOE;EMMA;SOFIA
2024,M,2,0.0667,LIAM;NOAH
2024,F,3,0.1,AURORA;EMMA;SOFIA
