sex,window,metric,n_years,trend,p_value,tau,sens_slope
M,full_1880_2025,shannon_entropy,146,increasing,0.0,0.7145016532829476,0.020732881720430106
M,full_1880_2025,top10_share,146,decreasing,0.0,-0.7832782239017477,-0.0022249999999999995
M,full_1880_2025,top50_share,146,decreasing,0.0,-0.6591402928672649,-0.0021788999999999984
M,comparable_1999_2025,shannon_entropy,27,increasing,7.427392034742297e-13,0.9829059829059829,0.04256033333333341
M,comparable_1999_2025,top10_share,27,decreasing,2.5404789383287607e-11,-0.9145299145299145,-0.0019148260869565215
M,comparable_1999_2025,top50_share,27,decreasing,4.0256686872908176e-13,-0.9943019943019943,-0.006237999999999966
F,full_1880_2025,shannon_entropy,146,increasing,0.0,0.8596126594237128,0.02298733333333362
F,full_1880_2025,top10_share,146,decreasing,0.0,-0.5510628247520075,-0.0010540857142857145
F,full_1880_2025,top50_share,146,decreasing,0.0,-0.7811998110533774,-0.0021865624999999993
F,comparable_1999_2025,shannon_entropy,27,increasing,4.131798903017625e-09,0.8062678062678063,0.018451571428571407
F,comparable_1999_2025,top10_share,27,decreasing,7.808931279384979e-11,-0.8917378917378918,-0.0010752222222222229
F,comparable_1999_2025,top50_share,27,decreasing,1.837863194964484e-12,-0.9658119658119658,-0.002797555555555556
both,full_1880_2025,shannon_entropy,146,increasing,0.0,0.7897024090694379,0.021449173913043497
both,full_1880_2025,top10_share,146,decreasing,0.0,-0.6727444496929618,-0.0011603333333333311
both,full_1880_2025,top50_share,146,decreasing,0.0,-0.6895606991025035,-0.0019656486486486486
both,comparable_1999_2025,shannon_entropy,27,increasing,1.837863194964484e-12,0.9658119658119658,0.030838833333333347
both,comparable_1999_2025,top10_share,27,decreasing,3.372435664061868e-11,-0.9088319088319088,-0.0008302999999999997
both,comparable_1999_2025,top50_share,27,decreasing,7.427392034742297e-13,-0.9829059829059829,-0.003466999999999998
