name,sex,year,count,baseline,ratio,score
Tammy,F,1958,9987,255,39.16,391137.9
Jaime,F,1976,7838,259,30.26,237197.9
Devante,M,1992,1565,12,130.42,204102.1
Nakia,F,1974,1135,7,162.14,184032.1
Nevaeh,F,2001,1199,8,149.88,179700.1
Ailany,F,2025,7136,311,22.95,163737.9
Catina,F,1972,1372,14,98.0,134456.0
Jalen,M,1993,1392,15,92.8,129177.6
Jermaine,M,1971,1014,8,126.75,128524.5
Jaslene,F,2008,872,6,145.33,126730.7
Ashley,F,1983,33289,8874,3.75,124876.9
Shirley,F,1935,42366,14476,2.93,123989.9
Debra,F,1951,17064,2392,7.13,121730.8
Deneen,F,1964,1604,22,72.91,116946.2
Debra,F,1952,26832,6176,4.34,116573.2
Katina,F,1972,2747,68,40.4,110970.7
Cheryl,F,1944,7972,591,13.49,107534.3
Jason,M,1970,27272,7143,3.82,104124.6
Ashley,F,1984,38773,14851,2.61,101228.6
Tammy,F,1957,4365,193,22.62,98721.4
Aaliyah,F,1994,1451,22,65.95,95700.0
Tevin,M,1991,1099,13,84.54,92907.8
Deanna,F,1937,1624,29,56.0,90944.0
Shelby,F,1991,10220,1203,8.5,86823.3
Tyrese,M,1999,1692,35,48.34,81796.1
Jayceon,M,2013,1849,42,44.02,81400.0
Yahir,M,2003,1274,20,63.7,81153.8
Nicholas,M,1978,16342,3466,4.71,77051.6
Woodrow,M,1912,1843,45,40.96,75481.1
Deborah,F,1950,29063,11244,2.58,75120.8
Nicholas,M,1979,21344,6071,3.52,75039.8
Jaclyn,F,1977,1939,51,38.02,73720.0
Cindy,F,1957,20272,5588,3.63,73542.2
Catina,F,1973,1236,23,53.74,66421.6
Deanna,F,1938,2254,77,29.27,65980.7
Bentley,M,2010,3776,217,17.4,65705.9
Katina,F,1973,2473,95,26.03,64376.1
Mariah,F,1991,5192,423,12.27,63727.8
Shelby,F,1936,1071,18,59.5,63724.5
Deborah,F,1949,19209,5837,3.29,63215.0
Aaliyah,F,1995,1256,25,50.24,63101.4
Jalen,M,1992,612,6,102.0,62424.0
Bentley,M,2011,5587,522,10.7,59798.0
Shelby,F,1937,1997,67,29.81,59522.5
Miley,F,2007,1233,26,47.42,58472.7
Sabrina,F,1955,1121,22,50.95,57120.0
Talan,M,2006,1060,20,53.0,56180.0
Ethan,M,1990,6989,896,7.8,54515.8
Brittany,F,1985,15437,4377,3.53,54443.9
Brittany,F,1986,20313,7665,2.65,53831.4
Kiara,F,1989,2624,128,20.5,53792.0
Shaun,M,1978,6105,699,8.73,53320.5
Samantha,F,1965,1961,73,26.86,52678.4
Tristan,M,1996,5458,567,9.63,52539.3
Jamie,F,1976,12539,3020,4.15,52061.8
Corey,M,1969,4924,466,10.57,52029.6
Marlene,F,1931,2585,129,20.04,51800.2
Dylan,M,1992,15064,4414,3.41,51410.1
Deborah,F,1948,11244,2471,4.55,51164.5
Jason,M,1969,16488,5336,3.09,50947.2
Marquita,F,1983,2543,128,19.87,50522.3
Tabatha,F,1966,500,5,100.0,50000.0
Allisson,F,2008,768,12,64.0,49152.0
Mallory,F,1984,1469,45,32.64,47954.7
Linda,F,1940,18370,7047,2.61,47886.6
Addison,F,2007,11949,3023,3.95,47230.8
Jase,M,2013,4555,454,10.03,45700.5
Woodrow,M,1913,2333,121,19.28,44982.6
Judith,F,1939,16625,6146,2.71,44970.8
Maximus,M,2001,892,18,49.56,44203.6
Marely,F,2008,1005,23,43.7,43914.1
Brenda,F,1940,5442,676,8.05,43809.7
Tammy,F,1959,13707,4365,3.14,43042.8
Tammie,F,1958,1311,41,31.98,41920.0
Audra,F,1966,892,19,46.95,41877.1
Jaslene,F,2007,501,6,83.5,41833.5
Kayla,F,1987,10576,2681,3.94,41720.2
Jeannine,F,1929,1183,34,34.79,41161.4
Whitney,F,1986,9536,2287,4.17,39761.8
Shania,F,1996,1837,85,21.61,39700.8
Jamie,F,1977,12895,4233,3.05,39282.1
Kayla,F,1983,3527,317,11.13,39242.0
Heather,F,1970,14669,5502,2.67,39109.3
Kayla,F,1988,13433,4657,2.88,38747.2
Jalisa,F,1988,520,7,74.29,38628.6
Jaime,F,1977,5906,914,6.46,38162.8
Trinity,F,2000,4284,481,8.91,38155.2
Dawson,M,1999,2802,209,13.41,37565.6
Nicole,F,1970,10691,3083,3.47,37073.5
Tevin,M,1990,607,10,60.7,36844.9
Chad,M,1971,12137,4060,2.99,36282.5
Ashanti,F,2002,2946,243,12.12,35715.7
Miley,F,2008,2652,198,13.39,35520.7
Jenna,F,1985,6436,1168,5.51,35464.1
Cynthia,F,1947,10530,3127,3.37,35459.2
Gregory,M,1947,9327,2474,3.77,35162.9
Omarion,M,2002,418,5,83.6,34944.8
Darrin,M,1965,3255,310,10.5,34177.5
Ryan,M,1972,8878,2323,3.82,33929.8
Debra,F,1950,6176,1125,5.49,33904.9
Marlene,F,1932,3219,306,10.52,33862.6
Douglas,M,1942,11233,3732,3.01,33810.4
Kim,F,1956,9897,2926,3.38,33475.9
Dylan,M,1991,9763,2853,3.42,33409.1
Brianne,F,1979,1663,83,20.04,33320.1
Brenda,F,1939,2756,233,11.83,32598.9
Krystle,F,1982,916,26,35.23,32271.4
Whitley,F,1988,508,8,63.5,32258.0
Shannon,F,1969,10452,3444,3.03,31720.2
Jaheim,M,2001,554,10,55.4,30691.6
Ermias,M,2019,523,9,58.11,30392.1
Aja,F,1978,491,8,61.38,30135.1
Denise,F,1952,11652,4514,2.58,30077.3
Mike,M,1958,10779,3900,2.76,29791.5
Jenna,F,1984,5882,1168,5.04,29621.5
Denise,F,1951,8116,2236,3.63,29458.6
Nevaeh,F,2002,1699,99,17.16,29157.6
Jeremy,M,1970,4318,640,6.75,29133.0
Farrah,F,1977,1515,81,18.7,28336.1
Addison,F,2006,7622,2055,3.71,28270.0
