year,country,rank,title,character,sex,notes
1999,US,1,NBA Finals Champions (Lakers),Kobe,M,NBA Champion & All-Star (Kobe Bryant)
2000,US,1,NBA Finals Champions (Lakers),Shaquille,M,NBA Finals MVP & Champion (Shaquille O'Neal)
2001,US,1,MLB World Series (NY Yankees),Derek,M,World Series MVP & All-Star (Derek Jeter)
2002,US,1,NFL Super Bowl XXXVI,Tom,M,Super Bowl MVP & Champion (Tom Brady)
2003,US,1,NBA Draft #1 Pick,LeBron,M,NBA #1 Overall Draft Pick & Rookie of the Year
2004,US,1,NFL MVP Season,Peyton,M,NFL MVP Record Season (Peyton Manning)
2006,US,1,NBA Finals Champions (Miami Heat),Dwyane,M,NBA Finals MVP (Dwyane Wade)
2009,US,1,NBA Finals MVP (Lakers),Kobe,M,NBA Finals MVP & Champion (Kobe Bryant)
2011,US,1,NBA MVP Season (Bulls),Derrick,M,Youngest NBA MVP in History (Derrick Rose)
2012,US,1,NBA Finals Champion (Heat),LeBron,M,NBA Champion & Finals MVP (LeBron James)
2014,US,1,NBA MVP Season (Thunder),Kevin,M,NBA MVP Award Winner (Kevin Durant)
2015,US,1,NBA Finals Champion (Warriors),Steph,M,NBA Champion & Unanimous MVP (Steph Curry)
2015,US,2,NBA Finals Champion (Warriors),Stephen,M,NBA Champion & MVP (Stephen Curry)
2016,US,1,NBA Finals Champion (Cavs),Kyrie,M,NBA Finals Game 7 Winning Shot (Kyrie Irving)
2017,US,1,NFL Super Bowl LI Champion,Tom,M,Historic Super Bowl Comeback MVP (Tom Brady)
2019,US,1,NFL Super Bowl LIV Champion,Patrick,M,Super Bowl MVP & Champion (Patrick Mahomes)
2020,US,1,NBA Finals Champion (Lakers),Anthony,M,NBA Champion & All-NBA (Anthony Davis)
2021,US,1,NBA Finals Champion (Bucks),Giannis,M,NBA Finals MVP 50-point Game (Giannis Antetokounmpo)
2023,US,1,NBA Finals Champion (Nuggets),Nikola,M,NBA Finals MVP (Nikola Jokić)
2000,IT,1,Euro 2000 Italia Vice-Campione,Francesco,M,Stella Euro 2000 Cucchiaio vs Olanda (Totti)
2001,IT,1,Scudetto AS Roma,Gabriel,M,Capocannoniere Scudetto Roma (Batistuta)
2003,IT,1,Champions League AC Milan,Andriy,M,Rigore Decisivo Finale Champions (Shevchenko)
2004,IT,1,Scudetto & Pallone d'Oro AC Milan,Kaká,M,Stella Scudetto Milan & Pallone d'Oro
2006,IT,1,Mondiali 2006 Campioni del Mondo,Gennaro,M,FIFA All-Star Team & Auditel 25.2M spettatori (Gattuso)
2006,IT,2,Mondiali 2006 Campioni del Mondo,Gianluigi,M,Premio Yashin Miglior Portiere (Buffon)
2006,IT,3,Mondiali 2006 Campioni del Mondo,Fabio,M,Capitano Campione del Mondo & Pallone d'Oro (Cannavaro)
2006,IT,4,Mondiali 2006 Campioni del Mondo,Alessandro,M,Gol Semifinale vs Germania & Rigore Finale (Del Piero)
2007,IT,1,Champions League AC Milan,Filippo,M,Doppietta Finale Champions Atene (Inzaghi)
2009,IT,1,Scudetto Inter,Zlatan,M,Capocannoniere Serie A (Ibrahimović)
2010,IT,1,Triplete Inter Champions League,Diego,M,Doppietta Finale Champions Madrid (Milito)
2011,IT,1,Scudetto AC Milan,Thiago,M,Miglior Difensore Serie A (Thiago Silva)
2012,IT,1,Euro 2012 Italia Vice-Campione,Mario,M,Doppietta Semifinale vs Germania (Balotelli)
2015,IT,1,Finale Champions League Juventus,Alvaro,M,Gol Finale Champions League (Morata)
2018,IT,1,Trasferimento Record Serie A,Cristiano,M,Lega Serie A: Trasferimento Record Juventus (€117M)
2021,IT,1,Euro 2020 Campioni d'Europa,Nicolò,M,Campione d'Europa UEFA Euro 2020 (Barella)
2021,IT,2,Euro 2020 Campioni d'Europa,Federico,M,UEFA Euro 2020 Team of the Tournament (Chiesa)
2021,IT,3,Euro 2020 Campioni d'Europa,Ciro,M,Scarpa d'Oro Europea & Euro 2020 (Immobile)
2023,IT,1,Scudetto SSC Napoli,Victor,M,Capocannoniere Serie A Scudetto Napoli (Osimhen)
2024,IT,1,Scudetto Inter & Copa America,Lautaro,M,Capocannoniere Serie A & MVP (Lautaro Martínez)
