profondita_copertura,bias_quota_primi10,bias_quota_primi50,bias_quota_primi100,bias_entropia_bit,bias_entropia_percento
137,0.0,0.0,0.0,-4.7269,-50.01
246,0.0,0.0,0.0,-4.0548,-42.9
247,0.0,0.0,0.0,-4.0507,-42.86
377,0.0,0.0,0.0,-3.6517,-38.64
466,0.0,0.0,0.0,-3.4699,-36.72
474,0.0,0.0,0.0,-3.4559,-36.58
736,0.0,0.0,0.0,-3.1163,-32.99
1004,0.0,0.0,0.0,-2.8972,-30.67
1019,0.0,0.0,0.0,-2.8868,-30.56
1135,0.0,0.0,0.0,-2.8137,-29.79
1242,0.0,0.0,0.0,-2.7541,-29.16
1321,0.0,0.0,0.0,-2.7133,-28.73
1484,0.0,0.0,0.0,-2.6374,-27.93
1567,0.0,0.0,0.0,-2.6012,-27.54
1726,0.0,0.0,0.0,-2.5396,-26.89
1737,0.0,0.0,0.0,-2.5355,-26.85
2055,0.0,0.0,0.0,-2.4267,-25.7
2258,0.0,0.0,0.0,-2.3673,-25.07
2274,0.0,0.0,0.0,-2.3632,-25.03
2421,0.0,0.0,0.0,-2.3256,-24.63
2608,0.0,0.0,0.0,-2.2778,-24.12
2765,0.0,0.0,0.0,-2.2376,-23.7
5577,0.0,0.0,0.0,-1.7875,-18.93
