Anno,Paese,Film / Serie TV,Personaggio,Sesso,Freq Pre (per 100k),Freq Post (per 100k),Impatto Netto DiD (%)
1999,US,The Sixth Sense,Cole,M,246.76,298.56,+26.6%
1999,US,Toy Story 2,Jessie,F,48.89,36.76,-21.2%
2000,US,How the Grinch Stole Christmas,Cindy,F,76.63,68.19,-3.4%
2000,US,Cast Away,Chuck,M,0.84,0.75,-12.6%
2000,US,Gladiator,Maximus,M,0.59,46.44,+7730.0%
2001,US,Harry Potter and the Sorcerer's Stone,Harry,M,23.89,22.59,-1.8%
2001,US,The Lord of the Rings: The Fellowship of the Ring,Arwen,F,0.45,4.34,+876.0%
2001,US,Shrek,Fiona,F,30.59,48.09,+64.0%
2002,US,Spider-Man,Peter,M,163.74,141.25,-10.3%
2002,US,The Lord of the Rings: The Two Towers,Eowyn,F,0.5,2.34,+369.1%
2003,US,The Lord of the Rings: The Return of the King,Arwen,F,1.15,8.58,+650.5%
2003,US,Finding Nemo,Nemo,M,0.31,0.25,-24.7%
2003,US,Pirates of the Caribbean: The Curse of the Black Pearl,Jack,M,432.23,514.33,+21.4%
2004,US,Shrek 2,Fiona,F,44.91,48.9,+14.9%
2004,US,Spider-Man 2,Peter,M,147.25,124.32,-14.5%
2005,US,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Lucy,F,79.2,126.25,+68.3%
2006,US,Pirates of the Caribbean: Dead Man's Chest,Jack,M,500.12,499.64,+8.2%
2006,US,Night at the Museum,Larry,M,44.93,43.39,-1.3%
2007,US,Spider-Man 3,Peter,M,129.73,104.22,-11.1%
2007,US,Transformers,Sam,M,28.79,29.57,+5.9%
2008,US,The Dark Knight,Bruce,M,27.31,27.41,+4.2%
2008,US,Iron Man,Tony,M,49.26,39.86,-11.6%
2008,US,Twilight,Isabella,F,925.67,1252.64,+47.8%
2008,US,Twilight,Bella,F,103.55,268.03,+173.3%
2009,US,Transformers: Revenge of the Fallen,Sam,M,29.32,28.71,+5.9%
2010,US,Toy Story 3,Woody,M,0.42,0.47,+11.1%
2010,US,Alice in Wonderland,Alice,F,57.73,133.46,+140.6%
2011,US,Harry Potter and the Deathly Hallows – Part 2,Harry,M,19.0,17.32,-2.0%
2011,US,Transformers: Dark of the Moon,Sam,M,29.27,26.13,-4.2%
2011,US,Game of Thrones,Arya,F,13.03,54.0,+321.7%
2012,US,The Avengers,Natasha,F,38.4,26.5,-25.3%
2012,US,The Dark Knight Rises,Bruce,M,28.35,38.89,+43.6%
2013,US,The Hunger Games: Catching Fire,Katniss,F,0.68,1.9,+193.2%
2013,US,Frozen,Elsa,F,28.85,50.34,+83.1%
2013,US,Frozen,Anna,F,332.92,303.96,-1.6%
2014,US,American Sniper,Chris,M,32.58,28.39,-11.8%
2014,US,The Hunger Games: Mockingjay – Part 1,Katniss,F,0.83,1.74,+125.8%
2015,US,Star Wars: The Force Awakens,Kylo,M,0.39,10.73,+2629.3%
2015,US,Jurassic World,Claire,F,275.7,283.35,+9.0%
2017,US,Star Wars: The Last Jedi,Rey,F,3.56,3.19,-5.6%
2017,US,Beauty and the Beast,Belle,F,14.88,18.32,+28.6%
2018,US,Black Panther,Nakia,F,0.83,1.42,+80.8%
2018,US,Avengers: Infinity War,Wanda,F,1.57,0.94,-31.9%
2019,US,Avengers: Endgame,Tony,M,27.97,23.57,-14.1%
2019,US,The Lion King,Simba,M,0.52,0.98,+89.4%
2020,US,Bad Boys for Life,Marcus,M,103.57,88.54,-10.8%
2021,US,Spider-Man: No Way Home,Peter,M,101.37,101.93,+4.7%
2022,US,Top Gun: Maverick,Pete,M,2.91,2.74,-5.2%
2023,US,Barbie,Margot,F,88.28,148.83,+71.8%
2023,US,Barbie,Barbie,F,1.86,2.6,+48.5%
2023,US,Oppenheimer,Robert,M,247.46,220.87,-3.6%
2000,IT,Chiedimi se sono felice,Giacomo,M,935.1,900.28,+6.4%
2001,IT,Harry Potter e la pietra filosofale,Harry,M,1.09,1.47,-67.5%
2002,IT,Natale sul Nilo,Christian,M,781.59,790.48,+9.0%
2003,IT,Il paradiso all'improvviso,Leonardo,M,1184.49,1309.51,+15.6%
2004,IT,Shrek 2,Fiona,F,3.36,11.47,+214.6%
2005,IT,Manuale d'amore,Tommaso,M,1261.28,1590.83,+32.7%
2006,IT,Il codice da Vinci,Robert,M,17.45,33.32,+93.6%
2007,IT,Natale in crociera,Fabio,M,558.82,462.38,-16.1%
2007,IT,Coco Chanel (Miniserie TV),Chanel,F,3.04,57.9,+1821.5%
2008,IT,Madagascar 2,Alex,M,329.67,338.95,+1.8%
2008,IT,Twilight,Isabella,F,182.63,221.97,+31.7%
2009,IT,L'era glaciale 3,Diego,M,751.41,1065.94,+51.8%
2010,IT,Benvenuti al Sud,Mattia,M,2186.51,2405.01,+17.6%
2010,IT,Alice in Wonderland,Alice,F,1606.51,1572.42,+0.8%
2012,IT,Benvenuti al Nord,Alberto,M,473.47,356.58,-25.6%
2013,IT,Sole a catinelle,Sole,F,7.75,38.67,+407.9%
2013,IT,Frozen - Il regno di ghiaccio,Elsa,F,21.07,42.87,+109.3%
2013,IT,Frozen - Il regno di ghiaccio,Anna,F,1329.06,1392.69,+7.5%
2023,IT,C'è ancora domani,Delia,F,120.82,198.7,+71.4%
2023,IT,Oppenheimer,Robert,M,20.05,15.31,-17.9%
