Anno,Paese,Brano / Evento,Artista / Nome,Sesso,Freq Pre (per 100k),Freq Post (per 100k),Impatto Netto DiD (%)
1999,US,Believe,Cher,F,0.38,0.77,+97.0%
1999,US,Baby One More Time,Britney,F,35.97,111.73,+215.7%
1999,US,Genie in a Bottle,Christina,F,295.11,223.18,-6.5%
2000,US,Breathe,Faith,F,189.64,304.05,+71.9%
2001,US,Fallin',Alicia,F,171.63,148.03,-0.5%
2001,US,Whenever Wherever,Shakira,F,14.3,23.47,+68.3%
2002,US,Foolish,Ashanti,F,13.55,40.81,+204.3%
2002,US,Complicated,Avril,F,0.52,6.93,+1241.2%
2003,US,Crazy in Love,Beyonce,F,12.99,7.66,-38.6%
2004,US,Goodies,Ciara,F,49.8,105.23,+118.2%
2005,US,We Belong Together,Mariah,F,159.76,203.57,+37.9%
2006,US,Hannah Montana,Miley,F,1.31,102.19,+7722.2%
2006,US,Taylor Swift,Taylor,F,513.55,427.77,+5.0%
2007,US,Irreplaceable,Beyonce,F,6.97,4.93,-28.6%
2008,US,I Kissed a Girl,Katy,F,11.52,10.48,-4.9%
2009,US,Fearless,Taylor,F,435.37,313.62,-14.4%
2010,US,Tik Tok,Kesha,F,0.46,0.57,+22.9%
2011,US,Rolling in the Deep,Adele,F,12.41,28.64,+138.1%
2011,US,Super Bass,Nicki,F,0.63,1.19,+98.3%
2012,US,Call Me Maybe,Carly,F,78.54,54.67,-25.5%
2014,US,All About That Bass,Meghan,F,17.19,12.48,-24.0%
2014,US,Problem,Ariana,F,217.4,269.34,+31.2%
2015,US,Hello,Adele,F,25.92,22.55,-6.9%
2016,US,Work,Rihanna,F,12.33,9.57,-18.2%
2018,US,New Rules,Dua,F,2.16,5.02,+138.3%
2019,US,Bad Guy,Billie,F,7.02,16.3,+135.9%
2021,US,Drivers License,Olivia,F,1087.65,985.85,-1.1%
2022,US,As It Was,Harry,M,21.19,18.84,-10.8%
2023,US,Flowers,Miley,F,23.9,53.15,+128.8%
2024,US,Espresso,Sabrina,F,47.64,59.48,+31.1%
2001,IT,Luce (Tramonti a nord est),Elisa,F,1339.25,1409.36,+7.8%
2003,IT,Gocce di memoria,Giorgia,F,1834.39,1974.64,-7.7%
2006,IT,Sei nell'anima,Gianna,F,8.62,8.41,+1.8%
2008,IT,Non ti scordar mai di me,Giusy,F,111.94,95.05,-19.6%
2009,IT,Stupida,Alessandra,F,747.4,589.8,-19.1%
2010,IT,Oltre,Emma,F,1177.69,1903.5,+68.0%
2011,IT,Rolling in the Deep,Adele,F,150.31,459.07,+206.2%
2012,IT,La notte,Arisa,F,2.13,3.94,+40.4%
2013,IT,L'essenziale,Marco,M,1426.84,1209.38,-11.5%
2017,IT,Tutta colpa mia,Elodie,F,19.94,60.04,+188.4%
2018,IT,Il mondo prima di te,Annalisa,F,81.51,69.84,-6.8%
2020,IT,Musica e il resto scomparirà,Elettra,F,86.05,99.65,+26.0%
2021,IT,Zitti e buoni,Damiano,M,266.71,455.31,+79.4%
2021,IT,Grande Fratello VIP 6,Soleil,F,50.61,253.05,+408.4%
2023,IT,Sanremo 2023 Performance,Celine,F,43.75,0.56,-90.0%
2024,IT,La noia,Angelina,F,14.48,24.0,+68.2%
